VehicleTypes,YearFrom,YearTo,Make
Automobile,2007,2017,BMW
Automobile,2008,2017,Chevrolet
Automobile,2009,2017,Chrysler
Automobile,2010,2017,Dodge
Automobile,2011,2017,Ford
Automobile,2012,2017,GMC
Automobile,2013,2017,Honda
Automobile,2014,2017,Hyundai
Automobile,2015,2017,Infiniti
Automobile,2016,2017,Jeep
Automobile,2010,2017,KIA
Automobile,2006,2017,Lexus
Automobile,2007,2017,Mazda
Automobile,2008,2017,Nissan
Automobile,2009,2017,Subaru
Automobile,2010,2017,Toyota
Automobile,2011,2017,Volkswagen
Motorcycle,2007,2017,BMW
Motorcycle,2008,2017,Ducati
Motorcycle,2009,2017,Honda
Motorcycle,2010,2017,Kawasaki
Motorcycle,2011,2017,YAMAHA
Jet Ski,2007,2017,Honda
Jet Ski,2008,2017,Suzuki
Jet Ski,2009,2017,YAMAHA
Automobile,2006,2017,Acura
Automobile,2007,2017,Audi
Automobile,2008,2017,BMW
Automobile,2009,2017,Chevrolet
Automobile,2010,2017,Chrysler
Automobile,2011,2017,Dodge
Automobile,2012,2017,Ford
Automobile,2013,2017,GMC
Automobile,2014,2017,Honda
Automobile,2005,2017,Hyundai
Automobile,2006,2017,Infiniti
Automobile,2007,2017,Jeep
Automobile,2008,2017,KIA
Automobile,2009,2017,Lexus
Automobile,2010,2017,Mazda
Automobile,2011,2017,Nissan
Automobile,2012,2017,Subaru
Automobile,2013,2017,Toyota
Automobile,2014,2017,Volkswagen
Motorcycle,2006,2017,BMW
Motorcycle,2007,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2010,2017,YAMAHA
Jet Ski,2006,2017,Honda
Jet Ski,2007,2017,Suzuki
Jet Ski,2008,2017,YAMAHA
Automobile,2005,2017,Acura
Automobile,2006,2017,Audi
Automobile,2007,2017,BMW
Automobile,2008,2017,Chevrolet
Automobile,2009,2017,Chrysler
Automobile,2010,2017,Dodge
Automobile,2011,2017,Ford
Automobile,2012,2017,GMC
Automobile,2013,2017,Honda
Automobile,2014,2017,Hyundai
Automobile,2015,2017,Infiniti
Automobile,2016,2017,Jeep
Automobile,2010,2017,KIA
Automobile,2006,2017,Lexus
Automobile,2007,2017,Mazda
Automobile,2008,2017,Nissan
Automobile,2009,2017,Subaru
Automobile,2010,2017,Toyota
Automobile,2011,2017,Volkswagen
Motorcycle,2007,2017,BMW
Motorcycle,2008,2017,Ducati
Motorcycle,2009,2017,Honda
Motorcycle,2010,2017,Kawasaki
Motorcycle,2011,2017,YAMAHA
Jet Ski,2007,2017,Honda
Jet Ski,2008,2017,Suzuki
Jet Ski,2009,2017,YAMAHA
Automobile,2006,2017,Acura
Automobile,2007,2017,Audi
Automobile,2008,2017,BMW
Automobile,2009,2017,Chevrolet
Automobile,2010,2017,Chrysler
Automobile,2011,2017,Dodge
Automobile,2012,2017,Ford
Automobile,2013,2017,GMC
Automobile,2014,2017,Honda
Automobile,2005,2017,Hyundai
Automobile,2006,2017,Infiniti
Automobile,2007,2017,Jeep
Automobile,2008,2017,KIA
Automobile,2009,2017,Lexus
Automobile,2010,2017,Mazda
Automobile,2011,2017,Nissan
Automobile,2012,2017,Subaru
Automobile,2013,2017,Toyota
Automobile,2014,2017,Volkswagen
Motorcycle,2006,2017,BMW
Motorcycle,2007,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2010,2017,YAMAHA
Jet Ski,2006,2017,Honda
Jet Ski,2007,2017,Suzuki
Jet Ski,2008,2017,YAMAHA
Automobile,2005,2017,Acura
Automobile,2006,2017,Audi
Automobile,2007,2017,BMW
Automobile,2008,2017,Chevrolet
Automobile,2009,2017,Chrysler
Automobile,2010,2017,Dodge
Automobile,2011,2017,Ford
Automobile,2012,2017,GMC
Automobile,2013,2017,Honda
Automobile,2014,2017,Hyundai
Automobile,2015,2017,Infiniti
Automobile,2016,2017,Jeep
Automobile,2010,2017,KIA
Automobile,2006,2017,Lexus
Automobile,2007,2017,Mazda
Automobile,2008,2017,Nissan
Automobile,2009,2017,Subaru
Automobile,2010,2017,Toyota
Automobile,2011,2017,Volkswagen
Motorcycle,2007,2017,BMW
Motorcycle,2008,2017,Ducati
Motorcycle,2009,2017,Honda
Motorcycle,2010,2017,Kawasaki
Motorcycle,2011,2017,YAMAHA
Jet Ski,2007,2017,Honda
Jet Ski,2008,2017,Suzuki
Jet Ski,2009,2017,YAMAHA
Automobile,2006,2017,Acura
Automobile,2007,2017,Audi
Automobile,2008,2017,BMW
Automobile,2009,2017,Chevrolet
Automobile,2010,2017,Chrysler
Automobile,2011,2017,Dodge
Automobile,2012,2017,Ford
Automobile,2013,2017,GMC
Automobile,2014,2017,Honda
Automobile,2005,2017,Hyundai
Automobile,2006,2017,Infiniti
Automobile,2007,2017,Jeep
Automobile,2008,2017,KIA
Automobile,2009,2017,Lexus
Automobile,2010,2017,Mazda
Automobile,2011,2017,Nissan
Automobile,2012,2017,Subaru
Automobile,2013,2017,Toyota
Automobile,2014,2017,Volkswagen
Motorcycle,2006,2017,BMW
Motorcycle,2007,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2010,2017,YAMAHA
Jet Ski,2006,2017,Honda
Jet Ski,2007,2017,Suzuki
Jet Ski,2008,2017,YAMAHA
Automobile,2005,2017,Acura
Automobile,2006,2017,Audi
Automobile,2007,2017,BMW
Automobile,2008,2017,Chevrolet
Automobile,2009,2017,Chrysler
Automobile,2010,2017,Dodge
Automobile,2011,2017,Ford
Automobile,2012,2017,GMC
Automobile,2013,2017,Honda
Automobile,2014,2017,Hyundai
Automobile,2015,2017,Infiniti
Automobile,2016,2017,Jeep
Automobile,2010,2017,KIA
Automobile,2006,2017,Lexus
Automobile,2007,2017,Mazda
Automobile,2008,2017,Nissan
Automobile,2009,2017,Subaru
Automobile,2010,2017,Toyota
Automobile,2011,2017,Volkswagen
Motorcycle,2007,2017,BMW
Motorcycle,2008,2017,Ducati
Motorcycle,2009,2017,Honda
Motorcycle,2010,2017,Kawasaki
Motorcycle,2011,2017,YAMAHA
Jet Ski,2007,2017,Honda
Jet Ski,2008,2017,Suzuki
Jet Ski,2009,2017,YAMAHA
Automobile,2006,2017,Acura
Automobile,2007,2017,Audi
Automobile,2008,2017,BMW
Automobile,2009,2017,Chevrolet
Automobile,2010,2017,Chrysler
Automobile,2011,2017,Dodge
Automobile,2012,2017,Ford
Automobile,2013,2017,GMC
Automobile,2014,2017,Honda
Automobile,2005,2017,Hyundai
Automobile,2006,2017,Infiniti
Automobile,2007,2017,Jeep
Automobile,2008,2017,KIA
Automobile,2009,2017,Lexus
Automobile,2010,2017,Mazda
Automobile,2011,2017,Nissan
Automobile,2012,2017,Subaru
Automobile,2013,2017,Toyota
Automobile,2014,2017,Volkswagen
Motorcycle,2006,2017,BMW
Motorcycle,2007,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2010,2017,YAMAHA
Jet Ski,2006,2017,Honda
Jet Ski,2007,2017,Suzuki
Jet Ski,2008,2017,YAMAHA
Automobile,2005,2017,Acura
Automobile,2006,2017,Audi
Automobile,2007,2017,BMW
Automobile,2008,2017,Chevrolet
Automobile,2009,2017,Chrysler
Automobile,2010,2017,Dodge
Automobile,2011,2017,Ford
Automobile,2012,2017,GMC
Automobile,2013,2017,Honda
Automobile,2014,2017,Hyundai
Automobile,2015,2017,Infiniti
Automobile,2016,2017,Jeep
Automobile,2010,2017,KIA
Automobile,2006,2017,Lexus
Automobile,2007,2017,Mazda
Automobile,2008,2017,Nissan
Automobile,2009,2017,Subaru
Automobile,2010,2017,Toyota
Automobile,2011,2017,Volkswagen
Motorcycle,2007,2017,BMW
Motorcycle,2008,2017,Ducati
Motorcycle,2009,2017,Honda
Motorcycle,2010,2017,Kawasaki
Motorcycle,2011,2017,YAMAHA
Jet Ski,2007,2017,Honda
Jet Ski,2008,2017,Suzuki
Jet Ski,2009,2017,YAMAHA
Automobile,2006,2017,Acura
Automobile,2007,2017,Audi
Automobile,2008,2017,BMW
Automobile,2009,2017,Chevrolet
Automobile,2010,2017,Chrysler
Automobile,2011,2017,Dodge
Automobile,2012,2017,Ford
Automobile,2013,2017,GMC
Automobile,2014,2017,Honda
Automobile,2005,2017,Hyundai
Automobile,2006,2017,Infiniti
Automobile,2007,2017,Jeep
Automobile,2008,2017,KIA
Automobile,2009,2017,Lexus
Automobile,2010,2017,Mazda
Automobile,2011,2017,Nissan
Automobile,2012,2017,Subaru
Automobile,2013,2017,Toyota
Automobile,2014,2017,Volkswagen
Motorcycle,2006,2017,BMW
Motorcycle,2007,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2010,2017,YAMAHA
